ts	total_used_MiB	s1_MiB	s2_MiB	s3_MiB
08:05:54	14957	4344	5238	4372
08:06:55	14141	4346	4420	4372
08:07:58	14185	4346	4464	4372
08:08:59	10982	2238	4464	2302
08:10:01	11572	2238	4464	2302
08:11:02	14650	2238	4464	2302
08:12:03	19158	5318	2328	4478
08:13:05	19158	5318	2328	4478
08:14:06	13127	5318	2328	4478
08:15:07	15967	5318	5420	4478
08:16:07	16221	5318	5422	4478
08:17:11	11218	2238	5422	2302
08:18:11	11312	2284	2328	5448
08:19:11	14904	3578	4622	5448
08:20:12	11253	3578	4622	2302
08:21:12	9215	2238	2328	3646
08:22:12	13857	3612	5596	3646
08:23:13	13607	3614	5596	3646
08:24:13	13897	3614	5596	3684
08:25:14	9253	2238	2328	3684
08:26:14	10056	4628	4678	0
08:27:16	10311	4628	4680	0
08:28:16	5569	2238	2328	0
08:29:16	8222	3748	3724	0
08:30:17	5316	2238	2328	0
08:31:17	9288	3800	4738	0
08:32:17	9619	3800	4740	0
08:33:18	5316	2238	2328	0
08:34:18	10406	4874	4782	0
08:35:18	10406	4874	4782	0
08:36:21	7770	2238	4782	0
08:37:22	5681	2238	2328	0
08:38:23	13513	5454	6944	0
08:39:23	13513	5454	6944	0
08:40:24	10297	2238	6944	0
08:41:25	5717	2280	2328	0
08:42:26	12013	6012	4886	0
08:43:27	12013	6012	4886	0
08:44:27	12013	6012	4886	0
08:45:27	5681	2238	2328	0
08:46:29	8650	5572	2328	0
08:47:29	11851	5572	4916	0
08:48:29	12013	5572	4916	0
08:49:29	9571	6128	2328	0
08:50:30	12197	6128	4954	0
08:51:30	8307	2238	4954	0
08:52:30	11683	4486	6082	0
08:53:31	11889	4486	6082	0
08:54:42	9750	2238	6082	0
08:55:44	9435	2238	6082	0
08:56:46	6048	2238	2328	0
08:57:46	11235	5106	4994	0
08:58:46	11676	5106	4994	0
08:59:47	11242	5106	4994	0
09:00:47	9728	2238	4994	0
09:01:47	12054	4576	4974	0
09:02:47	12465	4576	4976	0
09:03:48	10691	2238	4976	0
09:04:48	15611	6324	6062	0
09:05:48	15633	6324	6062	0
09:06:51	7813	2238	2328	0
09:07:52	11995	6364	2358	0
09:08:52	15720	6364	5036	0
09:09:53	14647	6364	5036	0
09:10:53	10181	2238	5036	0
09:11:53	14513	4656	6324	0
09:12:54	14663	4656	6372	0
09:13:57	12403	2238	6372	0
09:14:59	7740	2238	2328	0
09:16:00	10080	4566	2328	0
09:17:01	14220	4642	6386	0
09:18:01	14502	4642	6386	0
09:19:02	15576	4642	6386	0
09:20:02	11436	2238	6386	0
09:21:02	11480	4646	4020	0
09:22:02	11480	4646	4020	0
09:23:02	14498	6458	5184	0
09:24:03	14742	6460	5234	0
09:25:03	9595	2238	5234	0
09:26:03	12165	4722	5320	0
09:27:04	12165	4722	5320	0
09:28:04	13219	5838	5258	0
09:29:04	13221	5838	5260	0
09:30:04	6817	2378	2328	0
09:31:04	13361	5938	5300	0
09:32:05	9661	2238	5300	0
09:33:05	13263	5816	5324	0
09:34:05	13263	5816	5324	0
09:35:05	10937	6486	2328	0
09:36:06	13991	6532	5336	0
09:37:06	13991	6532	5336	0
09:38:07	13991	6532	5336	0
09:39:07	6689	2238	2328	0
09:40:07	10861	4652	4086	0
09:41:07	10861	4652	4086	0
09:42:07	13319	4686	6510	0
09:43:08	13319	4686	6510	0
09:44:14	10871	2238	6510	0
09:45:15	6689	2238	2328	0
09:46:16	11449	5298	4028	0
09:47:16	11503	5298	4082	0
09:48:16	8443	2238	4082	0
09:49:16	15619	5828	7668	0
09:50:16	15619	5828	7668	0
09:51:17	6689	2238	2328	0
09:52:17	9061	4610	2328	0
09:53:18	12027	4610	5294	0
09:54:18	9655	2238	5294	0
09:55:18	10809	4642	4044	0
09:56:18	10809	4642	4044	0
09:57:18	11399	6948	2328	0
09:58:19	14387	6948	5284	0
09:59:22	14387	6948	5284	0
10:00:23	10887	6436	2334	0
10:01:23	15031	6436	6472	0
10:02:23	12133	7682	2328	0
10:03:23	16125	7682	6320	0
10:04:23	14223	5780	6320	0
10:05:24	14421	5842	6456	0
10:06:24	14467	5842	6502	0
10:07:25	14467	5842	6502	0
10:08:26	10895	2238	6502	0
10:09:27	9649	5198	2328	0
10:10:27	15041	5254	7664	0
10:11:28	15089	5254	7712	0
10:12:28	15091	5256	7712	0
10:13:28	14361	8168	4070	0
10:14:28	14361	8168	4070	0
10:15:28	10299	5848	2328	0
10:16:29	13313	5848	5342	0
10:17:29	13313	5848	5342	0
10:18:30	6689	2238	2328	0
10:19:30	12631	6426	4082	0
10:20:30	12663	6426	4082	0
10:21:31	6689	2238	2328	0
10:22:31	14563	5948	6492	0
10:23:31	14563	5948	6492	0
10:24:33	14563	5948	6492	0
10:25:33	6689	2238	2328	0
10:26:33	17011	7196	7692	0
10:27:34	17011	7196	7692	0
10:28:34	13285	5906	5256	0
10:29:34	13289	5908	5258	0
10:30:37	13289	5908	5258	0
10:31:38	6689	2238	2328	0
10:32:38	13857	6444	5290	0
10:33:38	13857	6444	5290	0
10:34:41	6721	2238	2328	0
10:35:41	16863	7002	7706	0
10:36:42	16831	7002	7706	0
10:37:42	8413	2238	4052	0
10:38:43	10831	4622	4054	0
10:39:44	10799	4622	4054	0
10:40:44	10799	4622	4054	0
10:41:44	13859	6422	5314	0
10:42:44	13859	6422	5314	0
10:43:44	9659	2238	5298	0
10:44:45	13219	5796	5300	0
10:45:46	10249	5798	2328	0
10:46:46	10343	5798	2422	0
10:47:47	9627	2238	5266	0
10:48:48	11999	4608	5268	0
10:49:49	12001	4610	5268	0
10:50:50	12001	4610	5268	0
10:51:50	9629	2238	5268	0
10:52:50	12675	5228	5324	0
10:53:50	9679	5228	2328	0
10:54:50	12547	5194	5230	0
10:55:50	12547	5194	5230	0
10:56:51	14437	7046	5268	0
