ts,cfg,epoch,bodies_mean,n_bodies,peak_mib,total_peak_mib
1788523569,rtg_e31_s2,8,17.2,24,7766,16352
1788523569,rtg_e31_s3,7,17.7,21,7836,16352
1788523697,rtg_e31_s2,9,19.4,26,7766,14704
1788523697,rtg_e31_s3,8,18.55,18,6338,14704
1788523823,rtg_e31_s2,10,18.85,25,7616,14704
1788523823,rtg_e31_s3,9,19.4,20,6338,14704
1788523950,rtg_e31_s2,10,18.85,25,4710,10300
1788523950,rtg_e31_s3,10,19.05,17,4872,10300
1788524076,rtg_e31_s2,11,19.55,23,7780,13332
1788524076,rtg_e31_s3,11,17.8,21,4872,13332
1788524203,rtg_e31_s2,12,19.25,22,7780,12988
1788524203,rtg_e31_s3,11,17.8,21,7522,12988
1788524331,rtg_e31_s2,12,19.25,22,4716,12988
1788524331,rtg_e31_s3,12,17.6,21,7522,12988
1788524458,rtg_e31_s2,13,19.1,22,4670,11774
1788524458,rtg_e31_s3,12,17.6,21,6356,11774
1788524583,rtg_e31_s2,14,19.15,22,6286,14904
1788524583,rtg_e31_s3,13,18.55,19,7868,14904
1788524710,rtg_e31_s2,15,17.55,22,6286,13172
1788524710,rtg_e31_s3,14,17.2,19,6350,13172
1788524837,rtg_e31_s2,15,17.55,22,7520,17150
1788524837,rtg_e31_s3,15,18.75,18,8880,17150
1788524964,rtg_e31_s2,16,19.25,21,7520,17150
1788524964,rtg_e31_s3,15,18.75,18,8880,17150
1788525090,rtg_e31_s2,17,17.9,20,7454,14170
1788525090,rtg_e31_s3,16,17.4,18,5968,14170
1788525218,rtg_e31_s2,17,17.9,20,7454,14244
1788525218,rtg_e31_s3,17,16.95,17,7336,14244
1788525345,rtg_e31_s2,18,18.25,20,6158,14244
1788525345,rtg_e31_s3,17,16.95,17,7336,14244
1788525471,rtg_e31_s2,19,18.75,21,7704,13160
1788525471,rtg_e31_s3,18,17.65,18,4706,13160
1788525601,rtg_e31_s2,20,18.9,20,7704,15158
1788525601,rtg_e31_s3,19,17.3,17,8290,15158
1788525729,rtg_e31_s2,21,18.3,20,6118,15158
1788525729,rtg_e31_s3,20,17.15,17,8290,15158
1788525855,rtg_e31_s2,21,18.3,20,7494,13974
1788525855,rtg_e31_s3,20,17.15,17,5730,13974
1788525984,rtg_e31_s2,22,18.4,21,7494,13974
1788525984,rtg_e31_s3,21,17.15,15,7048,13974
1788526109,rtg_e31_s2,23,18.35,21,6134,13932
1788526109,rtg_e31_s3,21,17.15,15,7048,13932
1788526235,rtg_e31_s2,23,18.35,21,7542,15378
1788526235,rtg_e31_s3,22,17.4,15,7086,15378
1788526362,rtg_e31_s2,24,18.6,21,7542,13862
1788526362,rtg_e31_s3,23,16.85,15,6976,13862
1788526489,rtg_e31_s2,24,18.6,21,6136,13862
1788526489,rtg_e31_s3,23,16.85,15,6976,13862
1788526616,rtg_e31_s2,25,18.15,21,7534,12770
1788526616,rtg_e31_s3,24,16.65,15,4486,12770
1788526743,rtg_e31_s2,26,18.35,21,7534,12770
1788526743,rtg_e31_s3,25,16.65,17,4486,12770
1788526870,rtg_e31_s2,26,18.35,21,6094,11166
1788526870,rtg_e31_s3,25,16.65,17,4388,11166
1788526996,rtg_e31_s2,27,18.2,21,6096,13868
1788526996,rtg_e31_s3,26,16.7,16,7022,13868
1788527124,rtg_e31_s2,28,18.55,21,7456,13830
1788527124,rtg_e31_s3,27,15.8,15,7022,13830
1788527250,rtg_e31_s2,28,18.55,21,7456,13830
1788527250,rtg_e31_s3,27,15.8,15,5624,13830
1788527377,rtg_e31_s2,29,17.45,20,6050,11158
1788527377,rtg_e31_s3,28,16.25,15,4360,11158
1788527504,rtg_e31_s2,30,17.75,18,7306,12402
1788527504,rtg_e31_s3,29,15.9,15,4346,12402
1788527633,rtg_e31_s2,30,17.75,18,7306,12402
1788527633,rtg_e31_s3,29,15.9,15,4346,12402
1788527759,rtg_e31_s2,31,18.0,20,7400,13762
1788527759,rtg_e31_s3,30,16.0,15,5612,13762
1788527888,rtg_e31_s2,32,16.7,18,7400,13762
1788527888,rtg_e31_s3,31,16.7,16,6826,13762
1788528018,rtg_e31_s2,33,17.45,17,5922,13498
1788528018,rtg_e31_s3,32,15.85,15,6826,13498
1788528143,rtg_e31_s2,33,17.45,17,5888,12142
1788528143,rtg_e31_s3,32,15.85,15,5504,12142
1788528271,rtg_e31_s2,34,17.25,17,5888,12142
1788528271,rtg_e31_s3,33,15.15,14,5504,12142
1788528397,rtg_e31_s2,35,17.05,17,4450,10622
1788528397,rtg_e31_s3,33,15.15,14,5422,10622
1788528522,rtg_e31_s2,35,17.05,17,7268,14634
1788528522,rtg_e31_s3,34,16.05,15,6616,14634
1788528651,rtg_e31_s2,36,16.85,16,7270,14566
1788528651,rtg_e31_s3,35,14.95,15,6614,14566
1788528779,rtg_e31_s2,36,16.85,16,7202,14566
1788528779,rtg_e31_s3,35,14.95,15,6614,14566
1788528905,rtg_e31_s2,37,16.15,18,5826,10764
1788528905,rtg_e31_s3,36,15.35,14,4188,10764
1788529034,rtg_e31_s2,38,16.8,17,5826,11910
1788529034,rtg_e31_s3,37,15.4,14,6710,11910
1788529162,rtg_e31_s2,38,16.8,17,4450,11910
1788529162,rtg_e31_s3,37,15.4,14,6710,11910
1788529290,rtg_e31_s2,39,16.6,16,7084,13236
1788529290,rtg_e31_s3,38,14.5,14,5402,13236
1788529418,rtg_e31_s2,40,16.75,16,7084,10656
1788529418,rtg_e31_s3,39,15.15,14,5414,10656
1788529545,rtg_e31_s2,40,16.75,16,4492,11926
1788529545,rtg_e31_s3,40,14.95,14,6686,11926
1788529672,rtg_e31_s2,41,15.75,16,4492,9444
1788529672,rtg_e31_s3,41,15.55,14,4204,9444
1788529798,rtg_e31_s2,42,16.55,16,4462,9416
1788529798,rtg_e31_s3,42,14.6,14,4204,9416
1788529925,rtg_e31_s2,43,16.15,18,5738,13102
1788529925,rtg_e31_s3,43,15.45,14,6614,13102
1788530053,rtg_e31_s2,44,16.7,18,5738,13102
1788530053,rtg_e31_s3,44,15.05,14,6614,13102
1788530179,rtg_e31_s2,44,16.7,18,5786,11900
1788530179,rtg_e31_s3,44,15.05,14,5364,11900
1788530308,rtg_e31_s2,45,16.7,18,5786,11822
1788530308,rtg_e31_s3,45,14.95,14,5364,11822
1788530437,rtg_e31_s2,46,15.85,18,7052,14122
1788530437,rtg_e31_s3,46,14.45,14,6320,14122
1788530563,rtg_e31_s2,46,15.85,18,7052,14180
1788530563,rtg_e31_s3,46,14.45,14,6378,14180
1788530691,rtg_e31_s2,47,16.2,18,5666,12786
1788530691,rtg_e31_s3,47,14.8,15,6370,12786
1788530819,rtg_e31_s2,47,16.2,18,5666,12786
1788530819,rtg_e31_s3,47,14.8,15,6370,12786
1788530947,rtg_e31_s2,48,16.8,16,6952,15186
1788530947,rtg_e31_s3,48,14.6,15,7484,15186
1788531075,rtg_e31_s2,48,16.8,16,6952,15186
1788531075,rtg_e31_s3,48,14.6,15,7484,15186
1788531202,rtg_e31_s2,49,15.85,16,6978,12928
1788531202,rtg_e31_s3,49,14.2,14,5200,12928
1788531330,rtg_e31_s2,49,15.85,16,6978,12928
1788531330,rtg_e31_s3,50,14.35,13,5200,12928
1788531457,rtg_e31_s2,50,16.05,16,6932,13936
1788531457,rtg_e31_s3,51,14.1,13,6256,13936
1788531583,rtg_e31_s2,51,16.05,16,4448,11406
1788531583,rtg_e31_s3,52,14.1,13,6208,11406
1788531709,rtg_e31_s2,52,16.1,16,4486,10346
1788531709,rtg_e31_s3,53,13.45,13,5110,10346
1788531838,rtg_e31_s2,53,16.85,16,8248,15132
1788531838,rtg_e31_s3,53,13.45,13,6134,15132
1788531965,rtg_e31_s2,54,16.3,16,8248,15132
1788531965,rtg_e31_s3,55,13.15,13,6134,15132
1788532091,rtg_e31_s2,54,16.3,16,5696,12282
1788532091,rtg_e31_s3,56,13.45,13,6190,12282
1788532217,rtg_e31_s2,55,15.8,16,5696,12202
1788532217,rtg_e31_s3,57,13.25,12,6110,12202
1788532343,rtg_e31_s2,56,16.35,16,6926,12368
1788532343,rtg_e31_s3,58,13.1,12,5074,12368
1788532469,rtg_e31_s2,57,16.4,16,6926,12368
1788532469,rtg_e31_s3,59,13.15,12,5046,12368
1788532597,rtg_e31_s2,58,15.45,16,5718,12106
1788532597,rtg_e31_s3,59,13.15,12,6084,12106
1788532723,rtg_e31_s2,58,15.45,16,5628,12106
1788532723,rtg_e31_s3,60,12.95,12,6084,12106
1788532849,rtg_e31_s2,59,15.7,16,4354,9700
1788532849,rtg_e31_s3,61,12.9,12,4950,9700
1788532975,rtg_e31_s2,60,16.4,16,4372,9710
1788532975,rtg_e31_s3,62,12.8,12,4960,9710
1788533101,rtg_e31_s2,60,16.4,16,5408,8740
1788533101,rtg_e31_s3,63,12.95,12,3972,8740
1788533228,rtg_e31_s2,61,15.6,16,6740,11086
1788533228,rtg_e31_s3,64,12.9,12,3950,11086
1788533355,rtg_e31_s2,62,15.5,16,5628,9004
1788533355,rtg_e31_s3,65,12.4,12,5942,9004
1788533481,rtg_e31_s2,63,15.95,16,4490,10828
1788533481,rtg_e31_s3,65,12.4,12,5942,10828
1788533610,rtg_e31_s2,64,16.0,16,8020,14298
1788533610,rtg_e31_s3,67,12.5,12,5882,14298
1788533737,rtg_e31_s2,64,16.0,16,8020,14298
1788533737,rtg_e31_s3,67,12.5,12,5882,14298
1788533865,rtg_e31_s2,65,15.0,16,6720,9794
1788533865,rtg_e31_s3,68,12.55,12,5832,9794
1788533992,rtg_e31_s2,65,15.0,16,6720,12960
1788533992,rtg_e31_s3,69,12.55,12,5844,12960
1788534119,rtg_e31_s2,66,15.25,15,5584,10906
1788534119,rtg_e31_s3,70,12.1,12,4926,10906
1788534245,rtg_e31_s2,68,15.4,15,5442,9756
1788534245,rtg_e31_s3,71,12.2,12,3918,9756
1788534371,rtg_e31_s2,68,15.4,15,4366,8680
1788534371,rtg_e31_s3,72,12.5,12,3918,8680
