ts,pid,mib,cfg,epoch,bodies_mean,n_bodies
1788523211,2408014,4632,rtg_e31_s2,6,18.5,21
1788523211,2408103,2746,rtg_e31_s3,5,17.4,20
1788523213,2408014,4632,rtg_e31_s2,6,18.5,21
1788523213,2408103,2746,rtg_e31_s3,5,17.4,20
1788523215,2408014,4632,rtg_e31_s2,6,18.5,21
1788523215,2408103,2746,rtg_e31_s3,5,17.4,20
1788523217,2408014,4632,rtg_e31_s2,6,18.5,21
1788523217,2408103,2746,rtg_e31_s3,5,17.4,20
1788523220,2408014,4632,rtg_e31_s2,6,18.5,21
1788523220,2408103,2746,rtg_e31_s3,5,17.4,20
1788523222,2408014,4632,rtg_e31_s2,6,18.5,21
1788523222,2408103,2746,rtg_e31_s3,5,17.4,20
1788523224,2408014,4632,rtg_e31_s2,6,18.5,21
1788523224,2408103,2746,rtg_e31_s3,5,17.4,20
1788523226,2408014,4632,rtg_e31_s2,6,18.5,21
1788523226,2408103,2746,rtg_e31_s3,5,17.4,20
1788523228,2408014,4632,rtg_e31_s2,6,18.5,21
1788523228,2408103,2746,rtg_e31_s3,5,17.4,20
1788523230,2408014,4632,rtg_e31_s2,6,18.5,21
1788523230,2408103,2746,rtg_e31_s3,5,17.4,20
1788523232,2408014,4632,rtg_e31_s2,6,18.5,21
1788523232,2408103,2746,rtg_e31_s3,5,17.4,20
1788523235,2408014,4632,rtg_e31_s2,6,18.5,21
1788523235,2408103,2746,rtg_e31_s3,5,17.4,20
1788523237,2408014,4632,rtg_e31_s2,6,18.5,21
1788523237,2408103,2746,rtg_e31_s3,5,17.4,20
1788523239,2408014,2596,rtg_e31_s2,6,18.5,21
1788523239,2408103,2746,rtg_e31_s3,5,17.4,20
1788523241,2408014,2596,rtg_e31_s2,6,18.5,21
1788523241,2408103,2746,rtg_e31_s3,5,17.4,20
1788523243,2408014,2596,rtg_e31_s2,6,18.5,21
1788523243,2408103,2746,rtg_e31_s3,5,17.4,20
1788523245,2408014,2596,rtg_e31_s2,6,18.5,21
1788523245,2408103,2746,rtg_e31_s3,5,17.4,20
1788523247,2408014,2596,rtg_e31_s2,6,18.5,21
1788523247,2408103,2746,rtg_e31_s3,5,17.4,20
1788523249,2408014,2596,rtg_e31_s2,6,18.5,21
1788523249,2408103,2746,rtg_e31_s3,5,17.4,20
1788523252,2408014,2596,rtg_e31_s2,6,18.5,21
1788523252,2408103,2746,rtg_e31_s3,5,17.4,20
