epoch,alpha,control_log_std,attr_log_std,n_bodies,n_motors,mass,limb_len_mean,gear_mean,topo,distinct_topologies,top_topology_share,sampled_bodies_mean,pop_motors_mean,pop_motors_max,p_act1,p_act4,design_failed,eval_fall_rate,eval_goal_rate,eval_max_fwd,eval_R_mean,r_fall_return,r_fwd_return
0,1.0,-1.506123440637238,-2.300756755661573,12,6,0.8144306523759328,0.36031243080648867,149.74916005791908,901ec8c2e00b,20,0.05,15.0,6.0,9,0.95,0.95,0,,,,,,
1,0.999615999999017,-1.5093967859604807,-2.3023824935735635,12,6,0.8154777637294948,0.3611330115029763,149.52496175035893,901ec8c2e00b,20,0.05,15.25,6.6,11,1.0,0.95,0,,,,,,
2,0.9992319999980339,-1.5115715127109273,-2.3030090821291926,16,8,0.9894943940705907,0.35900444116689495,149.4753946938202,3c1c8baa8f6d,20,0.05,15.5,6.6,10,1.0,0.95,0,,,,,,
3,0.9988479999970509,-1.5149341122882396,-2.3021457501968854,17,8,1.0249755850455151,0.3535087059425709,149.36670692293256,505e6a17051c,20,0.05,16.2,7.65,12,1.0,1.0,0,,,,,,
4,0.9984639999960678,-1.5190091775115937,-2.3033153328893547,18,9,1.0623579773123957,0.3494527069812126,149.58777736346715,d8322a835747,20,0.05,16.5,7.4,10,1.0,1.0,0,0.0,0.0,0.15748954691964043,-645.522085175463,,-0.0489313884369887
5,0.9980799999950848,-1.5215624900779066,-2.30329063455971,20,9,1.1360213120235265,0.3415900212292677,149.81499857624658,1a88ead3ee6e,20,0.05,17.4,8.05,11,1.0,1.0,0,,,,,,
6,0.9976959999941017,-1.5238083030964142,-2.3029621012801766,20,9,1.1333307568660471,0.3401019303140466,150.15178494538338,8d352370d07a,20,0.05,18.15,7.8,11,1.0,1.0,0,,,,,,
7,0.9973119999931187,-1.526758168852617,-2.3028555489546103,21,9,1.1767460391887754,0.339901064434049,150.1706149691323,54cce48cbc93,20,0.05,17.7,8.15,10,1.0,1.0,0,,,,,,
8,0.9969279999921357,-1.5297874313265953,-2.302768265774192,18,9,1.0692668989323508,0.35127783679172175,149.78652326042095,d8322a835747,20,0.05,18.55,8.2,12,1.0,1.0,0,,,,,,
9,0.9965439999911526,-1.5330023586431394,-2.3028188883352336,20,9,1.1453778889547415,0.3439617856624514,149.7349742693017,902fe231d2c7,20,0.05,19.4,9.25,12,1.0,1.0,0,0.0,0.0,0.11263014095950437,-670.2356342445202,,0.15252868494487581
10,0.9961599999901696,-1.5350542316257305,-2.3033496800224604,17,9,1.0375306157401936,0.3565269751159241,149.94712308418855,1613c5475f71,20,0.05,19.05,8.9,11,1.0,1.0,0,,,,,,
11,0.9957759999891865,-1.538878938607802,-2.3036977657351208,21,9,1.1860007555273846,0.34167893173449604,150.11930181462935,f0907be448fe,20,0.05,17.8,8.65,12,1.0,1.0,0,,,,,,
12,0.9953919999882035,-1.541767112672244,-2.3040830740203933,21,9,1.1861762537784508,0.34142764616448973,150.44797365620082,f0907be448fe,20,0.05,17.6,8.2,12,1.0,1.0,0,,,,,,
13,0.9950079999872204,-1.5434816872778072,-2.3037659036642757,19,9,1.116450178583312,0.3506489979529191,151.10905612172166,e7843fabf3e7,20,0.05,18.55,8.35,11,1.0,1.0,0,,,,,,
14,0.9946239999862374,-1.5474364833032597,-2.3042701039348725,19,9,1.1181749030330967,0.3511979202041013,150.81611265330227,e7843fabf3e7,20,0.05,17.2,8.25,11,1.0,1.0,0,0.1,0.0,0.1401151954403738,-578.4478179965224,0.9819213025115728,0.32358122757871216
15,0.9942399999852544,-1.5493779422893663,-2.304275821306812,18,8,1.0522575456551335,0.33851147237109086,150.53254475816954,20296d5dafb1,20,0.05,18.75,7.95,11,1.0,1.0,0,,,,,,
16,0.9938559999842713,-1.5518585282309119,-2.304867073544699,18,8,1.054512091426213,0.3392825431801476,150.7874689444787,20296d5dafb1,20,0.05,17.4,8.0,11,1.0,1.0,0,,,,,,
17,0.9934719999832883,-1.555305107144459,-2.3049474095687645,17,7,1.0202760403529014,0.3445095517900407,151.8389003381181,d506fdcaa9c4,19,0.1,16.95,7.95,12,1.0,1.0,0,,,,,,
18,0.9930879999823052,-1.557310023780683,-2.3051220838541275,18,8,1.059988484990816,0.3407690880753681,151.62235251607655,20296d5dafb1,19,0.1,17.65,7.45,11,1.0,1.0,0,,,,,,
19,0.9927039999813222,-1.562441913913097,-2.3054419762401106,17,8,1.0313363515864566,0.34822914243016745,151.98639003796424,d506fdcaa9c4,19,0.1,17.3,7.8,10,1.0,1.0,0,0.0,0.0,0.2789631818926895,-686.0486151378708,0.9620287946159508,0.09113364129478366
20,0.9923199999803392,-1.565243316861606,-2.3052862011055764,17,8,1.0319507649917306,0.3478933975583808,152.334833764414,d506fdcaa9c4,20,0.05,17.15,7.7,10,1.0,1.0,0,,,,,,
21,0.9919359999793561,-1.5680178798337294,-2.3058409350554676,15,8,0.9539199071068973,0.3575996882800014,153.09535323683508,95eb50b617ed,20,0.05,17.15,7.55,10,1.0,1.0,0,,,,,,
22,0.9915519999783731,-1.5704011124592272,-2.306561311243439,15,8,0.9525457443954526,0.35709118045472005,154.33675115482853,95eb50b617ed,20,0.05,17.4,8.05,10,1.0,1.0,0,,,,,,
23,0.9911679999773901,-1.5739088433590445,-2.3068853516471104,15,7,0.9478188859096351,0.354858174929447,156.47949334192836,f66e6ca7c700,20,0.05,16.85,7.05,9,1.0,1.0,0,,,,,,
24,0.9907839999764071,-1.5780573353901697,-2.307610154108277,15,7,0.9472664605884054,0.3552922014132677,158.05112908358095,f66e6ca7c700,20,0.05,16.65,7.15,10,1.0,1.0,0,0.0,0.0,0.2701154726281407,-709.4696778909199,0.9539036262321757,-0.009145443879418217
25,0.990399999975424,-1.5832164657801475,-2.3077574977879998,17,7,1.0204978198085437,0.34822678551334496,158.64349148450984,5f6b4086fcbb,20,0.05,16.65,7.75,11,1.0,1.0,0,,,,,,
26,0.990015999974441,-1.5863621763763747,-2.3087882811253677,16,7,0.9810865708299273,0.3486765666971231,159.15367834653844,025ed15ce09b,20,0.05,16.7,7.1,10,1.0,1.0,0,,,,,,
27,0.989631999973458,-1.5886216854567095,-2.3089560094990724,15,7,0.9412448175179929,0.3530141203991844,161.02848502690387,f66e6ca7c700,20,0.05,15.8,7.05,10,1.0,1.0,0,,,,,,
28,0.9892479999724749,-1.5915393901721444,-2.3096337859227063,15,7,0.9385368418205594,0.3517184409819954,161.89451379841722,f66e6ca7c700,20,0.05,16.25,7.5,9,1.0,1.0,0,,,,,,
29,0.9888639999714919,-1.5935658095321397,-2.310377670307169,15,7,0.9392209554459117,0.3510978994140776,161.12606907949188,f66e6ca7c700,19,0.1,15.9,7.3,10,1.0,1.0,0,0.0,0.0,0.272151454497187,-697.9617800529354,0.9573459656860935,-0.031386901669228015
30,0.9884799999705088,-1.5965561514939004,-2.310895549963592,15,7,0.9375288163540149,0.35077904959521666,162.13972880411464,f66e6ca7c700,20,0.05,16.0,6.95,8,1.0,1.0,0,,,,,,
31,0.9880959999695258,-1.6010982774334812,-2.311287521616861,16,7,0.9707780413002167,0.3443120161954152,162.9978024372562,025ed15ce09b,20,0.05,16.7,7.15,9,1.0,1.0,0,,,,,,
