epoch,alpha,control_log_std,attr_log_std,n_bodies,n_motors,mass,limb_len_mean,gear_mean,topo,distinct_topologies,top_topology_share,sampled_bodies_mean,pop_motors_mean,pop_motors_max,p_act1,p_act4,design_failed,eval_fall_rate,eval_goal_rate,eval_max_fwd,eval_R_mean,r_fall_return,r_fwd_return
0,1.0,-0.01047948274449637,-2.2996336925847074,12,6,0.9494467783436957,0.47277801200700986,192.37666533333334,901ec8c2e00b,1,1.0,12.0,6.0,6,1.0,1.0,0,,,,,,
1,0.999615999999017,-0.020183142523128642,-2.2990835703342194,12,6,0.9494467783436957,0.47277801200700986,192.37666533333334,901ec8c2e00b,1,1.0,12.0,6.0,6,1.0,1.0,0,,,,,,
2,0.9992319999980339,-0.030039469146260628,-2.2994109611419264,12,6,0.9494467783436957,0.47277801200700986,192.37666533333334,901ec8c2e00b,1,1.0,12.0,6.0,6,1.0,1.0,0,,,,,,
3,0.9988479999970509,-0.03938663120812076,-2.2986422462404796,12,6,0.9494467783436957,0.47277801200700986,192.37666533333334,901ec8c2e00b,1,1.0,12.0,6.0,6,1.0,1.0,0,,,,,,
4,0.9984639999960678,-0.04831710630871121,-2.2989970709681002,12,6,0.9494467783436957,0.47277801200700986,192.37666533333334,901ec8c2e00b,1,1.0,12.0,6.0,6,1.0,1.0,0,0.2,0.0,0.3118358799433756,-410.8997131164043,0.9916920238273902,-0.42953779554028865
5,0.9980799999950848,-0.05616582479408765,-2.298413439621043,12,6,0.9494467783436957,0.47277801200700986,192.37666533333334,901ec8c2e00b,1,1.0,12.0,6.0,6,1.0,1.0,0,,,,,,
6,0.9976959999941017,-0.06379319279631207,-2.296805594337208,12,6,0.9494467783436957,0.47277801200700986,192.37666533333334,901ec8c2e00b,1,1.0,12.0,6.0,6,1.0,1.0,0,,,,,,
7,0.9973119999931187,-0.07085914033116521,-2.2972134261056203,12,6,0.9494467783436957,0.47277801200700986,192.37666533333334,901ec8c2e00b,1,1.0,12.0,6.0,6,1.0,1.0,0,,,,,,
8,0.9969279999921357,-0.07858123645555407,-2.295518789212581,12,6,0.9494467783436957,0.47277801200700986,192.37666533333334,901ec8c2e00b,1,1.0,12.0,6.0,6,1.0,1.0,0,,,,,,
9,0.9965439999911526,-0.08742048279826777,-2.295694929523879,12,6,0.9494467783436957,0.47277801200700986,192.37666533333334,901ec8c2e00b,1,1.0,12.0,6.0,6,1.0,1.0,0,0.4,0.0,0.34671231309325573,-328.2142551531031,0.9848306712955619,-0.31092833369432366
