epoch,alpha,control_log_std,attr_log_std,n_bodies,n_motors,mass,limb_len_mean,gear_mean,topo,distinct_topologies,top_topology_share,sampled_bodies_mean,pop_motors_mean,pop_motors_max,p_act1,p_act4,design_failed,eval_fall_rate,eval_goal_rate,eval_max_fwd,eval_R_mean,r_fall_return,r_fwd_return
0,1.0,-1.5057165184068861,-2.300222440649939,16,8,0.9898552965533098,0.3590942913876038,149.76590167467356,3c1c8baa8f6d,20,0.05,15.45,6.35,9,1.0,1.0,0,,,,,,
1,0.999615999999017,-1.5093222010728753,-2.300968169130624,15,8,0.952251712619729,0.363881237364286,149.8023256525036,d1d64b2dad82,20,0.05,16.1,6.9,10,1.0,1.0,0,,,,,,
2,0.9992319999980339,-1.5112460888984764,-2.3010657276702946,17,8,1.0243424261085856,0.35383223924552115,150.29414293593192,8126394e08dd,20,0.05,15.9,6.45,10,1.0,1.0,0,,,,,,
3,0.9988479999970509,-1.5151616560303662,-2.3023906020375917,17,8,1.0263861703747077,0.3545643916898683,150.4027854010929,8126394e08dd,20,0.05,14.8,6.75,10,1.0,1.0,0,,,,,,
4,0.9984639999960678,-1.5188487226227008,-2.302082082677619,18,8,1.0640924123161688,0.3517994611320227,149.79571446776538,c2466993b2a7,20,0.05,17.4,7.6,11,1.0,1.0,0,0.0,0.0,0.1241079312964565,-626.9803609122246,,0.7500440095421727
5,0.9980799999950848,-1.523419430047998,-2.3014779984069165,16,8,0.9928695917056013,0.3616181855861685,149.53482413966753,3c1c8baa8f6d,20,0.05,17.25,7.95,12,1.0,1.0,0,,,,,,
6,0.9976959999941017,-1.5256873755758928,-2.3009875364390413,18,9,1.0662986983250888,0.3529855368081691,149.94187825374718,c8043dc1b4d5,20,0.05,17.85,7.9,11,1.0,1.0,0,,,,,,
7,0.9973119999931187,-1.5265367490042605,-2.301978445270908,22,10,1.2113859548744454,0.34008366501457843,150.49627692948104,6612de5f2fe6,20,0.05,19.15,8.45,11,1.0,1.0,0,,,,,,
8,0.9969279999921357,-1.5294190936949488,-2.3016611540048397,19,10,1.0997011999437567,0.3495528980132202,150.72932558301255,8f32e8f1bb39,20,0.05,18.3,8.0,10,1.0,1.0,0,,,,,,
9,0.9965439999911526,-1.5328979328577035,-2.301507829557309,17,8,1.0258782238627333,0.35761886524928654,149.86115675363794,317570e09112,20,0.05,18.95,9.05,10,1.0,1.0,0,0.0,0.0,0.11043391786882939,-676.1557801867223,,0.3372946850812504
10,0.9961599999901696,-1.5371186308894642,-2.3015765389865837,20,9,1.1373601482962834,0.3464192149723794,150.37536020597784,109947a26882,20,0.05,20.0,9.2,11,1.0,1.0,0,,,,,,
11,0.9957759999891865,-1.5407071596599096,-2.301742690901642,20,9,1.141065885609153,0.3473817660152883,150.45742520898625,109947a26882,20,0.05,18.55,8.7,11,1.0,1.0,0,,,,,,
12,0.9953919999882035,-1.5451651342823074,-2.302041287842376,22,10,1.2173638131112516,0.34229495294634044,150.8124738841132,6612de5f2fe6,20,0.05,19.65,9.1,12,1.0,1.0,0,,,,,,
13,0.9950079999872204,-1.5469283057322314,-2.302344779457818,17,9,1.0327852065037089,0.35845772235948814,150.66822599693438,fb117c7edb43,20,0.05,19.65,10.25,12,1.0,1.0,0,,,,,,
14,0.9946239999862374,-1.5494351094618886,-2.3024307279691585,17,9,1.0343526888066616,0.35899689053578654,150.7251987552119,fb117c7edb43,20,0.05,18.4,9.05,12,1.0,1.0,0,0.0,0.0,0.11998023834481568,-672.8534449375234,,0.32126112718890343
15,0.9942399999852544,-1.5524475517542966,-2.3020365597740593,16,8,0.9996098803016397,0.3638861620179615,150.24212471155656,3c1c8baa8f6d,20,0.05,18.5,9.15,12,1.0,1.0,0,,,,,,
16,0.9938559999842713,-1.5548344673744574,-2.3020668448061223,16,8,0.9989139052641715,0.3637945343334966,150.4288644735816,3c1c8baa8f6d,20,0.05,17.1,8.7,11,1.0,1.0,0,,,,,,
17,0.9934719999832883,-1.5591034188022412,-2.301414290846652,16,8,0.9981329072800748,0.3631665908637639,150.6131724205076,3c1c8baa8f6d,20,0.05,18.0,8.55,11,1.0,1.0,0,,,,,,
18,0.9930879999823052,-1.5628504239361636,-2.301824852759826,16,8,0.9979281669934927,0.36319909244191423,150.73265433394772,3c1c8baa8f6d,20,0.05,18.15,8.7,11,1.0,1.0,0,,,,,,
19,0.9927039999813222,-1.5651220896927853,-2.3019735200804994,14,8,0.9215167068482487,0.3737348416667186,150.84445163386795,538f96108280,20,0.05,16.3,7.9,11,1.0,1.0,0,0.0,0.0,0.11052896084304717,-669.725704935571,,0.270551325597805
20,0.9923199999803392,-1.5691501050127044,-2.3019356074677035,16,8,0.9996556337421518,0.3640617358935539,151.1893705702781,3c1c8baa8f6d,20,0.05,17.2,8.85,12,1.0,1.0,0,,,,,,
21,0.9919359999793561,-1.5736899416693941,-2.302575897941577,14,8,0.9227804809772944,0.37413302811863,151.1417381886501,538f96108280,20,0.05,17.15,8.45,11,1.0,1.0,0,,,,,,
22,0.9915519999783731,-1.576543883356238,-2.3028152655257066,15,8,0.9614113978298803,0.3683080763748555,151.9987498744743,d1d64b2dad82,20,0.05,16.25,8.25,11,1.0,1.0,0,,,,,,
23,0.9911679999773901,-1.581402358930971,-2.30391422583811,14,8,0.9223894709292051,0.3743582528953628,152.52406250361125,538f96108280,20,0.05,15.85,7.5,9,1.0,1.0,0,,,,,,
