cfg,ckpt,ckpt_epoch,designs,readout_n_bodies,readout_n_motors,readout_gear_mean,pop_motors_mean,pop_motors_max,p_act1,p_act4,step_share_act1,step_share_act4,distinct_topologies,top_topology_share,bodies_mean,motors_hist
rtg_e3_s1,untrained,-1,200,19,7,149.98958661358188,5.715,12,0.995,0.825,0.9997861452840943,0.9910516046558567,199,0.01,14.755,{"0": 1; "1": 3; "2": 12; "3": 19; "4": 24; "5": 33; "6": 39; "7": 28; "8": 19; "9": 10; "10": 7; "11": 4; "12": 1}
rtg_e3_s1,best,3,200,5,0,0.0,2.51,9,0.82,0.3,0.9907427002180215,0.9096523189032298,186,0.015,11.42,{"0": 36; "1": 27; "2": 48; "3": 29; "4": 28; "5": 19; "6": 9; "7": 2; "8": 1; "9": 1}
rtg_e3_s1,_live_probe,17,200,5,0,0.0,0.055,2,0.045,0.0,0.5253896729244195,0.0,132,0.05,8.81,{"0": 191; "1": 7; "2": 2}
rtg_e3_s1,epoch_0019,18,200,5,0,0.0,0.035,2,0.03,0.0,0.42082107247950173,0.0,137,0.035,9.13,{"0": 194; "1": 5; "2": 1}
rtg_e3_s2,best,1,200,6,0,0.0,4.45,10,0.985,0.68,0.9993522037985447,0.9803622184115948,196,0.01,13.76,{"0": 3; "1": 8; "2": 30; "3": 23; "4": 45; "5": 28; "6": 31; "7": 18; "8": 7; "9": 5; "10": 2}
rtg_e3_s2,_live_probe,17,200,6,0,0.0,0.015,1,0.015,0.0,0.2634921202797703,0.0,90,0.06,7.815,{"0": 197; "1": 3}
rtg_e3_s2,epoch_0020,19,200,5,0,0.0,0.005,1,0.005,0.0,0.10558912711554592,0.0,96,0.065,7.78,{"0": 199; "1": 1}
rtg_e3_s2,epoch_0022,21,200,5,0,0.0,0.015,1,0.015,0.0,0.2634921202797703,0.0,102,0.06,8.065,{"0": 197; "1": 3}
rtg_e3_s3,best,0,200,6,0,0.0,5.26,10,0.995,0.79,0.9997861452840943,0.988811534647534,198,0.01,14.325,{"0": 1; "1": 5; "2": 20; "3": 16; "4": 36; "5": 33; "6": 29; "7": 24; "8": 20; "9": 12; "10": 4}
rtg_e3_s3,_live_probe,17,200,7,0,0.0,0.015,1,0.015,0.0,0.2634921202797703,0.0,129,0.05,8.885,{"0": 197; "1": 3}
rtg_e3_s3,epoch_0020,19,200,7,0,0.0,0.015,1,0.015,0.0,0.2634921202797703,0.0,149,0.025,9.395,{"0": 197; "1": 3}
rtg_e3_s3,epoch_0020,19,200,7,0,0.0,0.015,1,0.015,0.0,0.2634921202797703,0.0,149,0.025,9.395,{"0": 197; "1": 3}
rtg_e3c_s1,epoch_0020,19,200,13,8,150.0,8.0,8,1.0,1.0,1.0,1.0,1,1.0,13.0,{"8": 200}
rtg_e3c_s1,epoch_0040,39,200,13,8,150.0,8.0,8,1.0,1.0,1.0,1.0,1,1.0,13.0,{"8": 200}
rtg_e3c_s2,epoch_0020,19,200,13,8,150.0,8.0,8,1.0,1.0,1.0,1.0,1,1.0,13.0,{"8": 200}
rtg_e3c_s2,epoch_0040,39,200,13,8,150.0,8.0,8,1.0,1.0,1.0,1.0,1,1.0,13.0,{"8": 200}
