epoch,alpha,n_bodies,n_motors,mass,limb_len_mean,limb_len_sum,gear_mean,max_depth,topo,distinct_topologies,top_topology_share,sampled_bodies_mean,pop_motors_mean,pop_motors_max,p_act1,p_act4,step_share_act4,design_failed,eval_fall_rate,eval_goal_rate,eval_max_fwd,eval_R_mean,eval_design_fail_rate,r_fall_return,r_fwd_return
0,1.0,6,0,0.5097107033695927,0.2826632039656118,1.413316019828059,0.0,2,9a9129e64c83,20,0.05,14.4,,,,,,0,,,,,,,
1,0.999615999999017,5,0,0.47313293159130665,0.28258890874616177,1.130355634984647,0.0,1,9a51d315a8da,20,0.05,14.05,,,,,,0,,,,,,,
2,0.9992319999980339,5,0,0.4730738498035972,0.2826446427956108,1.1305785711824432,0.0,1,9a51d315a8da,20,0.05,12.2,,,,,,0,,,,,,,
3,0.9988479999970509,5,0,0.4736358180896152,0.28337636088802004,1.1335054435520802,0.0,1,9a51d315a8da,20,0.05,12.1,,,,,,0,,,,,,,
4,0.9984639999960678,5,0,0.47359278848666275,0.2825757448303321,1.1303029793213284,0.0,1,9a51d315a8da,18,0.1,9.9,,,,,,0,1.0,0.0,0.010019027594285145,21.1993460585551,0.0,,0.7534934391713203
5,0.9980799999950848,5,0,0.47308102235194227,0.28179954978959854,1.1271981991583941,0.0,1,9a51d315a8da,20,0.05,9.75,,,,,,0,,,,,,,
6,0.9976959999941017,5,0,0.47285082802431067,0.28124487802439857,1.1249795120975943,0.0,1,9a51d315a8da,19,0.1,9.55,,,,,,0,,,,,,,
7,0.9973119999931187,5,0,0.47259316334210255,0.28092465655133503,1.1236986262053401,0.0,1,9a51d315a8da,19,0.1,9.15,,,,,,0,,,,,,,
8,0.9969279999921357,5,0,0.47211763878553603,0.280618332141796,1.122473328567184,0.0,1,9a51d315a8da,20,0.05,8.65,,,,,,0,,,,,,,
9,0.9965439999911526,5,0,0.47299866449131583,0.2816346047021089,1.1265384188084355,0.0,1,9a51d315a8da,19,0.1,8.3,,,,,,0,1.0,0.0,0.010018359917697572,21.199330501142025,0.0,,0.7535018037279062
10,0.9961599999901696,5,0,0.4729124352822672,0.28096684016475315,1.1238673606590126,0.0,1,9a51d315a8da,16,0.2,7.95,,,,,,0,,,,,,,
11,0.9957759999891865,5,0,0.47237809343205467,0.28034906439295504,1.1213962575718202,0.0,1,9a51d315a8da,18,0.1,8.2,,,,,,0,,,,,,,
12,0.9953919999882035,5,0,0.4715462427120412,0.2781496974483396,1.1125987897933585,0.0,1,9a51d315a8da,17,0.1,7.8,,,,,,0,,,,,,,
13,0.9950079999872204,5,0,0.4714261167645662,0.2787331171904178,1.1149324687616713,0.0,1,9a51d315a8da,18,0.1,8.45,,,,,,0,,,,,,,
14,0.9946239999862374,5,0,0.47095306142727905,0.27838468791224263,1.1135387516489705,0.0,1,9a51d315a8da,17,0.15,7.35,,,,,,0,1.0,0.0,0.010020396554525047,21.199492964320108,0.0,,0.7535075238944902
15,0.9942399999852544,5,0,0.47058200342870266,0.2779092246324039,1.1116368985296157,0.0,1,9a51d315a8da,17,0.15,8.0,,,,,,0,,,,,,,
