epoch,alpha,n_bodies,n_motors,mass,limb_len_mean,limb_len_sum,gear_mean,max_depth,topo,distinct_topologies,top_topology_share,sampled_bodies_mean,pop_motors_mean,pop_motors_max,p_act1,p_act4,design_failed,eval_fall_rate,eval_goal_rate,eval_max_fwd,eval_R_mean,eval_design_fail_rate,r_fall_return,r_fwd_return
0,1.0,6,0,0.5099811085016049,0.28363206603861923,1.4181603301930963,0.0,2,d7d1805eecbc,20,0.05,14.4,,,,,0,,,,,,,
1,0.999615999999017,6,0,0.5104663371243561,0.28430449820968656,1.4215224910484328,0.0,2,d7d1805eecbc,20,0.05,13.3,,,,,0,,,,,,,
2,0.9992319999980339,7,0,0.5459771350568469,0.28317464429173683,1.6990478657504209,0.0,2,aa03b76992ee,20,0.05,12.9,,,,,0,,,,,,,
3,0.9988479999970509,7,0,0.5464994413452712,0.2839004794368776,1.7034028766212654,0.0,2,4c1ed159240d,20,0.05,12.45,,,,,0,,,,,,,
4,0.9984639999960678,6,0,0.5090979223208127,0.2825989866788683,1.4129949333943415,0.0,2,d7d1805eecbc,20,0.05,10.4,,,,,0,1.0,0.0,0.009968601779018583,21.20006348051374,0.0,,0.7557194193068043
5,0.9980799999950848,5,0,0.47404255175387133,0.28471111725512727,1.138844469020509,0.0,1,9a51d315a8da,18,0.1,9.5,,,,,0,,,,,,,
6,0.9976959999941017,5,0,0.4739550987240748,0.2839919522053118,1.1359678088212473,0.0,1,9a51d315a8da,20,0.05,9.0,,,,,0,,,,,,,
7,0.9973119999931187,5,0,0.47354762408921863,0.2835314912276828,1.1341259649107311,0.0,1,9a51d315a8da,19,0.1,9.65,,,,,0,,,,,,,
8,0.9969279999921357,5,0,0.47378541497611293,0.2828827079813834,1.1315308319255335,0.0,1,9a51d315a8da,17,0.1,9.05,,,,,0,,,,,,,
9,0.9965439999911526,6,0,0.5091910179282693,0.28086053759902524,1.4043026879951261,0.0,2,d7d1805eecbc,19,0.1,8.1,,,,,0,1.0,0.0,0.009969251122357225,21.20010516113566,0.0,,0.7557175710639088
