cfg,epoch,control_log_std,sigma,cost_per_step,below_survive,below_boundary
rtg_e3c_s1,65,-0.645515,0.524392,1.099950,0,0
rtg_e3c_s2,65,-0.643768,0.525310,1.103801,0,0
rtg_e3c_s1,71,-0.697857,0.497651,0.990625,1,0
rtg_e3c_s2,71,-0.695166,0.498992,0.995970,1,0
rtg_e3c_s1,77,-0.748636,0.473011,0.894959,1,0
rtg_e3c_s2,77,-0.744190,0.475119,0.902952,1,0
rtg_e3c_s1,83,-0.793493,0.452262,0.818165,1,0
rtg_e3c_s2,83,-0.789428,0.454104,0.824843,1,0
rtg_e3c_s1,89,-0.836727,0.433126,0.750392,1,0
rtg_e3c_s2,89,-0.832682,0.434881,0.756487,1,0
rtg_e3c_s1,95,-0.879993,0.414786,0.688189,1,0
rtg_e3c_s2,95,-0.875597,0.416613,0.694267,1,0
rtg_e3c_s1,101,-0.916272,0.400008,0.640024,1,0
rtg_e3c_s2,101,-0.915651,0.400256,0.640819,1,0
rtg_e3c_s1,107,-0.951428,0.386189,0.596569,1,0
rtg_e3c_s2,107,-0.952556,0.385754,0.595224,1,0
rtg_e3c_s1,113,-0.982386,0.374417,0.560751,1,1
rtg_e3c_s2,113,-0.983695,0.373927,0.559285,1,1
rtg_e3c_s1,119,-1.014745,0.362495,0.525610,1,1
rtg_e3c_s2,119,-1.019005,0.360954,0.521151,1,1
rtg_e3c_s1,125,-1.044977,0.351700,0.494771,1,1
rtg_e3c_s2,125,-1.051924,0.349265,0.487944,1,1
rtg_e3c_s1,131,-1.070193,0.342942,0.470438,1,1
rtg_e3c_s2,131,-1.081200,0.339188,0.460195,1,1
rtg_e3c_s1,137,-1.095155,0.334488,0.447528,1,1
rtg_e3c_s2,137,-1.106248,0.330798,0.437709,1,1
rtg_e3c_s1,143,-1.118445,0.326788,0.427161,1,1
rtg_e3c_s2,143,-1.135034,0.321411,0.413220,1,1
rtg_e3c_s1,149,-1.141067,0.319478,0.408265,1,1
rtg_e3c_s2,149,-1.158494,0.313959,0.394280,1,1
rtg_e3c_s1,155,-1.161753,0.312937,0.391718,1,1
rtg_e3c_s2,155,-1.181076,0.306948,0.376869,1,1
rtg_e3c_s1,161,-1.182383,0.306547,0.375885,1,1
rtg_e3c_s2,161,-1.203690,0.300085,0.360204,1,1
rtg_e3c_s1,167,-1.200460,0.301056,0.362538,1,1
rtg_e3c_s2,167,-1.225403,0.293639,0.344896,1,1
rtg_e3c_s1,173,-1.221143,0.294893,0.347847,1,1
rtg_e3c_s2,173,-1.244356,0.288126,0.332067,1,1
rtg_e3c_s1,179,-1.243380,0.288408,0.332716,1,1
rtg_e3c_s2,179,-1.264871,0.282276,0.318718,1,1
rtg_e3c_s1,185,-1.264766,0.282305,0.318785,1,1
rtg_e3c_s2,185,-1.287521,0.275954,0.304602,1,1
rtg_e3c_s1,191,-1.284308,0.276842,0.306566,1,1
rtg_e3c_s2,191,-1.305247,0.271106,0.293993,1,1
rtg_e3c_s1,197,-1.304576,0.271287,0.294387,1,1
rtg_e3c_s2,197,-1.328601,0.264848,0.280577,1,1
rtg_e3c_s1,203,-1.323252,0.266268,0.283594,1,1
rtg_e3c_s2,203,-1.346367,0.260184,0.270782,1,1
rtg_e3c_s2,209,-1.364672,0.255465,0.261049,1,1
rtg_e3c_s1,209,-1.340792,0.261638,0.273818,1,1
rtg_e3c_s1,215,-1.356722,0.257503,0.265232,1,1
rtg_e3c_s2,215,-1.384352,0.250486,0.250973,1,1
rtg_e3c_s2,221,-1.403128,0.245827,0.241723,1,1
rtg_e3c_s1,221,-1.370565,0.253963,0.257990,1,1
rtg_e3c_s2,227,-1.421161,0.241434,0.233161,1,1
rtg_e3c_s1,227,-1.388878,0.249355,0.248711,1,1
rtg_e3c_s2,233,-1.440941,0.236705,0.224117,1,1
rtg_e3c_s1,233,-1.402187,0.246058,0.242179,1,1
rtg_e3c_s2,239,-1.457938,0.232716,0.216626,1,1
rtg_e3c_s1,239,-1.419548,0.241823,0.233914,1,1
rtg_e3c_s2,245,-1.479359,0.227784,0.207542,1,1
rtg_e3c_s1,245,-1.431481,0.238955,0.228397,1,1
rtg_e3c_s2,251,-1.499213,0.223306,0.199462,1,1
rtg_e3c_s1,251,-1.448386,0.234949,0.220804,1,1
rtg_e3c_s2,257,-1.520845,0.218527,0.191016,1,1
rtg_e3c_s1,257,-1.464756,0.231134,0.213692,1,1
rtg_e3c_s2,263,-1.538252,0.214756,0.184481,1,1
rtg_e3c_s1,263,-1.480618,0.227497,0.207020,1,1
