
===== Top 10 Processes at 2025-04-20 10:56:35 =====
    644 root      20   0   74.6g
      1 root      20   0    1136
     19 root      20   0    4492
     52 root      20   0   10336
     53 nobody    20   0   11196
     76 root      20   0   15424
     79 root      20   0    4492
     84 root      20   0    2788
     85 root      20   0  167752
    374 root      20   0    2888

===== Top 10 Processes at 2025-04-20 10:56:48 =====
 273231 root      20   0   17120
 273525 root      20   0   75980
      1 root      20   0    1136
     19 root      20   0    4492
     52 root      20   0   10336
     53 nobody    20   0   11196
     76 root      20   0   15424
     79 root      20   0    4492
     84 root      20   0    2788
     85 root      20   0  167752

===== Top 10 Processes at 2025-04-20 10:57:00 =====
     19 root      20   0    4492
     52 root      20   0   10336
     53 nobody    20   0   11196
     76 root      20   0   15424
     79 root      20   0    4492
     84 root      20   0    2788
     85 root      20   0  167752
    374 root      20   0    2888
    378 root      20   0   11.3g
    417 root      20   0   11.4g

===== Top 10 Processes at 2025-04-20 10:57:13 =====
      1 root      20   0    1136
     19 root      20   0    4492
     52 root      20   0   10336
     53 nobody    20   0   11196
     76 root      20   0   15424
     79 root      20   0    4492
     84 root      20   0    2788
     85 root      20   0  167752
    374 root      20   0    2888
    378 root      20   0   11.3g

===== Top 10 Processes at 2025-04-20 10:57:25 =====
      1 root      20   0    1136
     19 root      20   0    4492
     52 root      20   0   10336
     53 nobody    20   0   11196
     76 root      20   0   15424
     79 root      20   0    4492
     84 root      20   0    2788
     85 root      20   0  167752
    374 root      20   0    2888
    378 root      20   0   11.3g
